0.1	0.4335	0.5645	0.0	0.0	0.5249	0.9098	0.6657	0.7348	0.0	0.0	0.7309	0.0	0.0	0.7025	0.0	0.0
0.2	0.2597	0.7399	0.0	0.0	0.7921	0.6052	0.6861	0.752	0.0	0.0	0.7443	0.0	0.0	0.75	0.0	0.0
0.3	0.2389	0.7604	0.0	0.0	0.7285	0.7854	0.7559	0.7465	0.0	0.0	0.7218	0.0	0.0	0.7465	0.0	0.0
0.4	0.3219	0.6774	0.0	0.0	0.6805	0.6354	0.6571	0.7312	0.0	0.0	0.7394	0.0	0.0	0.7312	0.0	0.0
0.5	0.264	0.7355	0.0	0.0	0.7612	0.6711	0.7133	0.7419	0.0	0.0	0.7432	0.0	0.0	0.7419	0.0	0.0
0.6	0.3458	0.6532	0.0	0.0	0.6475	0.7087	0.6767	0.7177	0.0	0.0	0.7143	0.0	0.0	0.6855	0.0	0.0
0.7	0.2949	0.7043	0.0	0.0	0.6889	0.6966	0.6927	0.7312	0.0	0.0	0.7182	0.0	0.0	0.6882	0.0	0.0
0.8	0.2431	0.7561	0.0	0.0	0.6719	0.8269	0.7414	0.7642	0.0	0.0	0.7623	0.0	0.0	0.7642	0.0	0.0
0.9	0.2945	0.7049	0.0	0.0	0.72	0.6207	0.6667	0.7213	0.0	0.0	0.7213	0.0	0.0	0.7049	0.0	0.0


0.1	0.4243	0.5749	0.0916	0.029	0.6555	0.4204	0.5123	0.7357	0.0204	0.0064	0.6809	0.0719	0.0227	0.6552	0.0851	0.0269
0.2	0.4169	0.5817	0.0776	0.0245	0.5672	0.7378	0.6413	0.7375	0.0226	0.0071	0.7199	0.0156	0.0049	0.7125	0.0278	0.0088
0.3	0.3519	0.6472	0.0585	0.0185	0.6394	0.6321	0.6357	0.7408	0.0112	0.0035	0.7252	0.0167	0.0053	0.7214	0.0122	0.0039
0.4	0.2867	0.7126	0.04	0.0126	0.6973	0.6859	0.6916	0.7478	0.0172	0.0054	0.7376	0.0236	0.0075	0.732	0.0261	0.0082
0.5	0.2758	0.7235	0.0304	0.0096	0.7113	0.6904	0.7007	0.7484	0.0173	0.0055	0.7475	0.0136	0.0043	0.7384	0.0183	0.0058
0.6	0.284	0.7153	0.0471	0.0149	0.6995	0.6876	0.6935	0.744	0.0223	0.0071	0.7341	0.0255	0.0081	0.731	0.0333	0.0105
0.7	0.2853	0.714	0.0294	0.0093	0.7033	0.6976	0.7004	0.7376	0.0243	0.0077	0.7375	0.0222	0.007	0.7258	0.0268	0.0085
0.8	0.2612	0.7382	0.0356	0.0113	0.7183	0.7015	0.7098	0.7545	0.0235	0.0074	0.7482	0.0262	0.0083	0.7447	0.0305	0.0096
0.9	0.2731	0.7262	0.047	0.0149	0.731	0.7048	0.7177	0.7459	0.0488	0.0154	0.7392	0.049	0.0155	0.7246	0.048	0.0152

0.1	0.4515	0.5477	0.0634	0.02	0.6343	0.4083	0.4968	0.7403	0.0048	0.0015	0.6909	0.0472	0.0149	0.6407	0.0736	0.0233
0.2	0.3348	0.6643	0.0668	0.0211	0.6453	0.6484	0.6468	0.7387	0.0058	0.0018	0.7269	0.0168	0.0053	0.7351	0.0138	0.0044
0.3	0.3481	0.6512	0.0649	0.0205	0.6688	0.5711	0.6161	0.747	0.0112	0.0036	0.7341	0.0223	0.0071	0.7288	0.0217	0.0069
0.4	0.3648	0.6344	0.0971	0.0307	0.642	0.5819	0.6105	0.7406	0.008	0.0025	0.724	0.0191	0.006	0.6976	0.0468	0.0148
0.5	0.298	0.7013	0.0495	0.0157	0.6883	0.6802	0.6842	0.7355	0.0218	0.0069	0.7327	0.0261	0.0083	0.7255	0.028	0.0089
0.6	0.2771	0.7222	0.0381	0.012	0.7002	0.7019	0.7011	0.748	0.0281	0.0089	0.7484	0.031	0.0098	0.7399	0.0321	0.0102
0.7	0.265	0.7344	0.0279	0.0088	0.7232	0.7041	0.7135	0.7527	0.0236	0.0074	0.748	0.0269	0.0085	0.7435	0.0271	0.0086
0.8	0.2773	0.722	0.0308	0.0097	0.6914	0.7058	0.6985	0.7341	0.0275	0.0087	0.7343	0.0296	0.0094	0.7268	0.0282	0.0089
0.9	0.2764	0.723	0.0297	0.0094	0.7002	0.6899	0.695	0.7426	0.0265	0.0084	0.7382	0.0208	0.0066	0.7262	0.0275	0.0087

trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1	mle_meanAccuracy	mle_sd	mle_se	mple_meanAccuracy	mple_sd	mple_se	initialEstimate_meanAccuracy	initialEstimate_sd	initialEstimate_se

